name	x	y
Plasmodium coatneyi	27.686	30992.905
Plasmodium falciparum 3D7	23.27	124238.337
Plasmodium gaboni	20.386	119629.225
Plasmodium reichenowi	20.502	123826.386
Plasmodium cynomolgi strain B	26.181	25790.312
Plasmodium fragile	25.915	30320.582
Plasmodium inui San Antonio 1	27.405	17697.41
Plasmodium knowlesi strain H	23.462	42662.476
Plasmodium vivax	27.014	27403.882
Plasmodium berghei	17.955	32654.365
Plasmodium chabaudi chabaudi	18.868	28167.859
Plasmodium vinckei vinckei	18.222	29394.605
Plasmodium yoelii yoelii	23.125	37016.708
Babesia bigemina	13.841	6708.434
Babesia bovis	8.18	5765.122
Babesia microti strain RI	6.392	8145.875
Theileria annulata strain Ankara	8.358	15083.527
Theileria equi strain WA	11.674	6129.61
Theileria orientalis strain Shintoku	9.01	12680.62
Theileria parva	8.348	13326.216
Cryptosporidium hominis	8.744	27027.519
Cryptosporidium muris RN66	9.245	15421.647
Cryptosporidium parvum Iowa II	9.102	20548.598
Eimeria acervulina	45.831	108343.618
Eimeria maxima	45.975	114522.825
Eimeria mitis	60.415	153191.408
Eimeria necatrix	55.008	94819.107
Eimeria tenella	51.894	74551.035
Hammondia hammondi	67.701	15338.161
Neospora caninum Liverpool	57.547	16557.84
Toxoplasma gondii ME49	65.668	16577.922
Gregarina niphandrodes	14.009	9045.64
Nannochloropsis gaditana CCMP526	33.987	14433.627
Naegleria gruberi	40.964	14927.247
Sphaeroforma arctica JP610	121.631	35150.411
Capsaspora owczarzaki ATCC 30864	27.968	38609.351
Monosiga brevicollis MX1	41.71	30636.998
Salpingoeca rosetta	55.44	116284.309
Acytostelium subglobosum LB1	31.003	45986.605
Dictyostelium discoideum	34.205	143292.643
Dictyostelium fasciculatum	31.019	68450.394
Dictyostelium purpureum	32.967	70213.128
Polysphondylium pallidum PN500	32.97	53438.855
Emiliania huxleyi CCMP1516	167.676	37332.159
Leishmania donovani	32.445	25901.181
Leishmania infantum JPCM5	32.122	28206.814
Leishmania major strain Friedlin	32.855	34522.81
Leishmania mexicana MHOM/GT/2001/U1103	32.109	30009.616
